,step,ms_reward,ms_phase,ms_policy,mn_reward,mn_phase,mn_policy,pg_reward,pg_phase,pg_policy,hn_reward,hn_phase,hn_policy,dz_reward,dz_phase,dz_policy
124,920,289,2,[0.4468541 0.5531459],169,2,[0.16615145 0.83384854],187,2,[0.31362975 0.68637025],188,2,[0.40990928 0.3779794  0.21211126],-67,4,[0.5492651  0.14826292 0.1442064  0.15826552]
125,925,296,2,[0.4693065  0.53069353],170,2,[0.47446516 0.5255348 ],190,2,[0.3444562  0.65554374],190,2,[0.31683984 0.4809707  0.2021895 ],-69,4,[0.46719295 0.11362983 0.13076915 0.28840813]
126,930,303,2,[0.43197757 0.5680224 ],170,2,[0.5224446  0.47755536],192,2,[0.3491196 0.6508804],188,2,[0.2778537  0.51021737 0.2119289 ],-72,4,[0.45192426 0.12188956 0.1325821  0.2936041 ]
127,935,305,2,[0.4805388  0.51946115],170,2,[0.57838374 0.42161626],191,2,[0.54896295 0.45103714],187,2,[0.31978682 0.48991364 0.19029953],-74,4,[0.4735997  0.11420054 0.1250727  0.28712705]
128,940,248,1,[0.539227   0.46077302],16,1,[0.5904664  0.40953362],18,1,[0.5862973  0.41370267],11,1,[0.35278574 0.48564735 0.16156691],-158,1,[0.47152022 0.10234939 0.12567069 0.30045962]
129,945,255,1,[0.4871169 0.5128831],28,1,[0.5170225  0.48297754],27,1,[0.41846105 0.581539  ],20,1,[0.40230647 0.39743987 0.20025365],-155,1,[0.52492285 0.09900073 0.15311329 0.22296317]
130,950,262,1,[0.4123963 0.5876037],36,1,[0.46100277 0.53899723],32,1,[0.3738433  0.62615675],30,1,[0.29771194 0.4419421  0.260346  ],-152,1,[0.46786976 0.10571933 0.15644845 0.26996252]
131,955,268,1,[0.43399552 0.5660045 ],42,1,[0.45528743 0.5447126 ],40,1,[0.5728033  0.42719677],41,1,[0.2993943  0.44074482 0.25986093],-137,1,[0.4692905  0.10494915 0.15510023 0.27066013]
132,960,273,1,[0.41576937 0.58423066],43,1,[0.37215552 0.62784445],45,1,[0.51312816 0.4868719 ],53,1,[0.3356175  0.48489502 0.1794875 ],-124,1,[0.46654966 0.10616867 0.15687795 0.27040365]
133,965,273,1,[0.44735336 0.55264664],49,1,[0.26491487 0.7350851 ],52,1,[0.41763607 0.58236396],57,1,[0.44545996 0.40829483 0.1462453 ],-114,1,[0.44671702 0.11465347 0.16695052 0.27167895]
134,970,273,1,[0.46999428 0.5300057 ],56,1,[0.26453683 0.73546314],58,1,[0.35254768 0.6474523 ],63,1,[0.29291752 0.46254066 0.24454173],-100,1,[0.49465063 0.0905751  0.1286666  0.28610763]
135,975,283,1,[0.5036004  0.49639964],65,1,[0.4368681 0.5631319],69,1,[0.25328454 0.7467154 ],69,1,[0.32805514 0.5192082  0.1527367 ],-89,1,[0.48072323 0.12079439 0.1572778  0.24120457]
136,980,289,1,[0.47668996 0.52331   ],65,1,[0.28812423 0.71187574],76,1,[0.28767693 0.71232307],78,1,[0.36685848 0.41523084 0.21791069],-81,1,[0.50144213 0.1486748  0.19322522 0.15665789]
137,985,292,1,[0.4753857 0.5246142],72,1,[0.33320743 0.6667926 ],82,1,[0.2829761  0.71702397],87,1,[0.3358415  0.47240654 0.1917519 ],-78,1,[0.5244968  0.16263601 0.15463763 0.15822951]
138,990,296,1,[0.45300373 0.5469962 ],78,1,[0.28817877 0.7118212 ],86,1,[0.25696832 0.7430317 ],94,1,[0.27315727 0.5231844  0.2036583 ],-69,1,[0.5235279  0.11614501 0.1735499  0.18677716]
139,995,298,1,[0.43216968 0.56783026],82,1,[0.27294543 0.72705466],93,1,[0.26100853 0.73899144],101,1,[0.31280932 0.47565183 0.21153878],-58,1,[0.5262342  0.11728582 0.16963808 0.18684192]
140,1000,300,1,[0.50877327 0.49122676],87,1,[0.3160438 0.6839562],102,1,[0.28741577 0.71258426],106,1,[0.2939606  0.55986476 0.14617464],-54,1,[0.52210265 0.16817692 0.15468596 0.15503442]
141,1005,302,1,[0.5265901  0.47340992],92,1,[0.35388243 0.64611757],112,1,[0.32068148 0.6793185 ],113,1,[0.28486392 0.5918524  0.12328364],-52,1,[0.515356   0.16368355 0.16586155 0.15509892]
142,1010,305,1,[0.48756304 0.5124369 ],97,1,[0.21974948 0.7802505 ],125,1,[0.29003796 0.70996207],117,1,[0.3359965  0.5431808  0.12082269],-48,1,[0.5248669  0.11872463 0.1712358  0.1851727 ]
143,1015,307,1,[0.45668888 0.5433111 ],102,1,[0.16805615 0.83194387],136,1,[0.2853833  0.71461666],128,1,[0.33140177 0.49946693 0.16913134],-45,1,[0.544596   0.12430287 0.14300805 0.18809305]
144,1020,313,1,[0.40052187 0.5994781 ],103,1,[0.14778145 0.85221857],142,1,[0.32580695 0.6741931 ],142,1,[0.37287495 0.4252866  0.20183851],-43,1,[0.5483084  0.12612002 0.13753557 0.18803608]
145,1025,319,1,[0.41378248 0.5862175 ],105,1,[0.15786593 0.8421341 ],146,1,[0.34641838 0.6535816 ],155,1,[0.33491012 0.4491421  0.21594784],-42,1,[0.5364274  0.1210786  0.15434666 0.18814741]
146,1030,322,1,[0.41289806 0.5871019 ],106,1,[0.21837397 0.78162605],146,1,[0.35163328 0.64836663],157,1,[0.37699723 0.46744844 0.15555432],-129,1,[0.4547973  0.14122777 0.20545413 0.1985208 ]
147,1035,338,2,[0.45453328 0.5454668 ],112,2,[0.2604397 0.7395603],151,2,[0.23195204 0.7680479 ],151,2,[0.38717416 0.46942657 0.14339921],-126,4,[0.44157094 0.15085682 0.20773908 0.1998332 ]
148,1040,346,2,[0.46565798 0.534342  ],113,2,[0.44518843 0.55481154],154,2,[0.23006786 0.76993215],149,2,[0.3220689  0.4960098  0.18192127],-123,4,[0.43265828 0.18392664 0.21631859 0.1670965 ]
149,1045,352,2,[0.50328434 0.49671575],112,2,[0.4206244 0.5793755],156,2,[0.18588696 0.8141131 ],149,2,[0.23181579 0.5532763  0.21490785],-123,4,[0.42927513 0.1461196  0.17087698 0.2537283 ]
150,1050,358,2,[0.4763568  0.52364326],112,2,[0.45748648 0.54251355],157,2,[0.19964938 0.80035067],151,2,[0.30855677 0.40629855 0.28514466],-120,4,[0.47100428 0.122541   0.1591417  0.24731301]
151,1055,360,2,[0.52786934 0.47213066],111,2,[0.38178313 0.6182169 ],156,2,[0.31093168 0.6890684 ],150,2,[0.323092   0.38249782 0.29441017],-121,4,[0.48440853 0.13671947 0.17880218 0.20006983]
152,1060,365,2,[0.4780381  0.52196187],111,2,[0.30872545 0.6912746 ],155,2,[0.47787616 0.5221239 ],148,2,[0.31439447 0.40248564 0.2831199 ],-123,4,[0.48217902 0.1413401  0.1755421  0.20093878]
153,1065,368,2,[0.40840295 0.591597  ],111,2,[0.42257118 0.5774288 ],155,2,[0.4726353  0.52736473],147,2,[0.23612899 0.50443375 0.25943723],-126,4,[0.48949695 0.12333708 0.16600823 0.22115779]
154,1070,368,2,[0.43817464 0.5618254 ],110,2,[0.45094097 0.54905903],153,2,[0.5509926  0.44900742],146,2,[0.2447409  0.5311778  0.22408131],-128,4,[0.49279043 0.12325193 0.15623675 0.22772083]
155,1075,308,1,[0.38659242 0.6134076 ],16,1,[0.45861664 0.5413833 ],18,1,[0.5165408  0.48345917],-11,1,[0.253615   0.540817   0.20556796],-188,1,[0.50135493 0.12145491 0.16379935 0.21339086]
156,1080,316,1,[0.29768693 0.702313  ],31,1,[0.38151956 0.6184805 ],32,1,[0.4407434 0.5592566],-4,1,[0.34217244 0.44619924 0.2116283 ],-181,1,[0.46703735 0.12543298 0.16444014 0.24308954]
157,1085,317,1,[0.44980755 0.55019253],46,1,[0.2585748  0.74142516],36,1,[0.29464978 0.7053502 ],2,1,[0.43296748 0.41154125 0.1554913 ],-179,1,[0.4139788  0.12969342 0.1843933  0.27193445]
158,1090,317,1,[0.46505657 0.5349434 ],57,1,[0.34496123 0.6550387 ],43,1,[0.42336148 0.5766386 ],11,1,[0.4381858  0.40958586 0.15222837],-172,1,[0.41410235 0.12971108 0.18446423 0.27172235]
159,1095,316,1,[0.23947212 0.76052785],63,1,[0.29879484 0.7012052 ],46,1,[0.42234772 0.5776523 ],20,1,[0.43314874 0.39011058 0.17674074],-158,1,[0.41797784 0.12645613 0.1812514  0.2743146 ]
160,1100,315,1,[0.237346   0.76265395],68,1,[0.25011894 0.7498811 ],48,1,[0.42354822 0.57645184],27,1,[0.4058519  0.40308577 0.19106232],-151,1,[0.42053354 0.1247674  0.17959088 0.2751082 ]
161,1105,318,1,[0.42477122 0.57522875],76,1,[0.23757957 0.76242036],54,1,[0.3302703  0.66972965],31,1,[0.42305207 0.4261987  0.15074925],-142,1,[0.46184295 0.09809627 0.14727092 0.29278982]
162,1110,326,1,[0.48582494 0.51417506],86,1,[0.32893035 0.6710696 ],64,1,[0.24260451 0.7573955 ],38,1,[0.4047296  0.45271814 0.14255226],-132,1,[0.4343462  0.11387176 0.16815093 0.28363118]
163,1115,330,1,[0.45284384 0.5471561 ],96,1,[0.26490617 0.73509383],71,1,[0.22954626 0.77045375],42,1,[0.3658661  0.47766268 0.15647125],-126,1,[0.41772848 0.12893285 0.18485987 0.26847872]
164,1120,339,1,[0.54636717 0.4536329 ],105,1,[0.30327696 0.69672304],82,1,[0.24834491 0.75165504],52,1,[0.34449193 0.5301416  0.1253665 ],-120,1,[0.4753038  0.12809148 0.1998865  0.19671817]
165,1125,344,1,[0.51506525 0.48493475],106,1,[0.27804565 0.7219543 ],92,1,[0.20625128 0.79374874],62,1,[0.31886378 0.5045998  0.17653635],-115,1,[0.4779959  0.13368867 0.2061118  0.18220364]
166,1130,343,1,[0.5598992  0.44010073],112,1,[0.29899555 0.7010045 ],100,1,[0.2214815  0.77851856],70,1,[0.29587388 0.57977635 0.12434974],-108,1,[0.45803496 0.1706257  0.21718213 0.15415718]
167,1135,346,1,[0.5321651  0.46783486],116,1,[0.31340617 0.6865938 ],110,1,[0.29065284 0.7093472 ],81,1,[0.28996518 0.62247634 0.08755849],-98,1,[0.44447836 0.16417298 0.17929819 0.21205047]
168,1140,348,1,[0.5433349  0.45666516],122,1,[0.3491223 0.6508777],120,1,[0.3016738 0.6983262],91,1,[0.28839633 0.61922103 0.09238262],-91,1,[0.48383114 0.18253876 0.17898764 0.15464246]
169,1145,353,1,[0.52712286 0.47287717],128,1,[0.2560695 0.7439305],134,1,[0.26290393 0.7370961 ],100,1,[0.3327977  0.54821265 0.11898966],-86,1,[0.4543461  0.1678556  0.22420742 0.15359087]
170,1150,355,1,[0.50172275 0.49827725],131,1,[0.30729055 0.6927095 ],146,1,[0.32885337 0.67114663],112,1,[0.33044097 0.5702468  0.09931224],-77,1,[0.4828983 0.1346675 0.1989308 0.1835033]
171,1155,360,1,[0.5160661 0.4839339],138,1,[0.19572069 0.80427927],154,1,[0.28483757 0.71516246],121,1,[0.31834918 0.5396565  0.14199427],-73,1,[0.48288807 0.12770775 0.201146   0.18825816]
172,1160,361,1,[0.4820995 0.5179005],139,1,[0.28943047 0.71056956],165,1,[0.36558592 0.634414  ],133,1,[0.3150875 0.5294569 0.1554556],-67,1,[0.48508468 0.12875846 0.19768892 0.18846793]
173,1165,363,1,[0.42062318 0.5793768 ],139,1,[0.17097437 0.82902557],165,1,[0.34319758 0.6568024 ],139,1,[0.34043467 0.5042078  0.15535751],-147,1,[0.48236138 0.12746163 0.20196675 0.18821028]
174,1170,359,2,[0.44263655 0.55736345],145,2,[0.2436884 0.7563116],169,2,[0.2597154  0.74028456],134,2,[0.44741824 0.40470254 0.14787918],-147,4,[0.48086682 0.12816235 0.2022794  0.18869147]
175,1175,367,2,[0.41966367 0.5803363 ],145,2,[0.46829665 0.5317034 ],172,2,[0.2265581  0.77344185],133,2,[0.4135618  0.4086862  0.17775203],-145,4,[0.50385207 0.14144298 0.19377746 0.16092756]
176,1180,373,2,[0.4091172  0.59088284],145,2,[0.45082232 0.54917765],174,2,[0.16472717 0.8352728 ],131,2,[0.40675786 0.40720567 0.18603644],-144,4,[0.4783139  0.14316459 0.18713151 0.19139004]
177,1185,377,2,[0.6074259  0.39257407],145,2,[0.43666345 0.5633366 ],174,2,[0.18289953 0.8171004 ],130,2,[0.24942043 0.5375628  0.21301676],-144,4,[0.49016917 0.14698559 0.1650958  0.19774948]
178,1190,383,2,[0.6309767  0.36902326],144,2,[0.42962635 0.57037365],174,2,[0.31860715 0.6813929 ],129,2,[0.19348684 0.49341595 0.3130972 ],-141,4,[0.49663723 0.16077971 0.13832782 0.20425528]
179,1195,388,2,[0.5307064 0.4692936],143,2,[0.4294206 0.5705794],173,2,[0.3602854  0.63971466],131,2,[0.19365823 0.49609908 0.31024262],-141,4,[0.49968848 0.1551751  0.13421738 0.2109191 ]
180,1200,390,2,[0.50931877 0.49068132],143,2,[0.4282989  0.57170117],173,2,[0.37023208 0.6297679 ],130,2,[0.17726573 0.5154767  0.30725753],-143,4,[0.5001978  0.15758438 0.13532284 0.20689498]
181,1205,390,2,[0.5146498  0.48535022],142,2,[0.4227756  0.57722443],173,2,[0.44407725 0.55592275],129,2,[0.18884063 0.4366937  0.37446573],-146,4,[0.5139526  0.13000143 0.13568695 0.22035907]
182,1210,346,1,[0.47042486 0.52957517],14,1,[0.42916146 0.57083863],21,1,[0.5150304  0.48496962],-24,1,[0.17665516 0.45926738 0.3640774 ],-224,1,[0.50497574 0.12319669 0.15687133 0.21495622]
183,1215,356,1,[0.34391627 0.65608376],26,1,[0.37804154 0.6219585 ],28,1,[0.3122718  0.68772817],-13,1,[0.24170072 0.53400207 0.22429721],-217,1,[0.49042013 0.13532718 0.17302503 0.20122762]
184,1220,362,1,[0.4298444 0.5701556],41,1,[0.29061002 0.70939004],38,1,[0.2544672  0.74553275],-4,1,[0.3231509  0.42303056 0.2538185 ],-214,1,[0.48268253 0.127213   0.20127869 0.1888258 ]
185,1225,363,1,[0.4161005  0.58389956],55,1,[0.26017383 0.7398262 ],44,1,[0.26919577 0.7308042 ],8,1,[0.39820284 0.37610513 0.22569197],-211,1,[0.42253378 0.1261578  0.18040371 0.27090475]
186,1230,365,1,[0.2541139 0.7458861],63,1,[0.27298993 0.7270101 ],49,1,[0.30777213 0.69222784],18,1,[0.45004624 0.3493922  0.20056155],-204,1,[0.47664294 0.12784198 0.20067376 0.19484134]
187,1235,364,1,[0.271739   0.72826105],69,1,[0.267878 0.732122],56,1,[0.43054265 0.5694573 ],25,1,[0.52815825 0.31168064 0.16016105],-189,1,[0.43695697 0.12942538 0.1908492  0.2427685 ]
188,1240,365,1,[0.32892662 0.6710733 ],76,1,[0.23277636 0.7672236 ],61,1,[0.30873206 0.69126797],31,1,[0.4737754  0.35237944 0.17384517],-177,1,[0.4161036  0.12927657 0.18485992 0.26975986]
189,1245,368,1,[0.45724723 0.5427528 ],88,1,[0.28769645 0.7123036 ],72,1,[0.3453827 0.6546173],37,1,[0.4316112  0.3873925  0.18099636],-171,1,[0.48235944 0.12745997 0.20196882 0.1882117 ]
190,1250,375,1,[0.45571518 0.5442848 ],98,1,[0.21038501 0.78961504],76,1,[0.2180575 0.7819425],41,1,[0.45187196 0.3695864  0.17854166],-161,1,[0.48233864 0.12746614 0.20196925 0.18822594]
191,1255,381,1,[0.54420316 0.45579687],106,1,[0.30216646 0.69783354],87,1,[0.27050415 0.7294958 ],50,1,[0.37419826 0.41401875 0.21178295],-154,1,[0.48234403 0.12745929 0.20196325 0.18823342]
192,1260,389,1,[0.5436897  0.45631036],110,1,[0.31387907 0.68612087],97,1,[0.29812697 0.701873  ],60,1,[0.41415286 0.36243728 0.22340989],-147,1,[0.47466648 0.13671368 0.20893891 0.1796809 ]
193,1265,393,1,[0.47335336 0.5266467 ],115,1,[0.25270346 0.7472966 ],109,1,[0.24746852 0.75253147],67,1,[0.4648136  0.3702462  0.16494021],-141,1,[0.4521309  0.1651383  0.22872029 0.15401055]
194,1270,396,1,[0.53408813 0.4659119 ],120,1,[0.28074843 0.7192516 ],122,1,[0.3432553 0.6567447],79,1,[0.46730053 0.3731052  0.15959425],-135,1,[0.44943953 0.1674405  0.22627026 0.15684962]
195,1275,401,1,[0.5566397  0.44336036],125,1,[0.2905868 0.7094132],134,1,[0.3104231 0.6895769],87,1,[0.4643759  0.37034774 0.16527644],-128,1,[0.45556608 0.16128324 0.22571781 0.15743278]
196,1280,408,1,[0.5712126  0.42878744],128,1,[0.36097804 0.639022  ],145,1,[0.40484038 0.5951596 ],99,1,[0.43557838 0.37907702 0.18534462],-121,1,[0.5080285  0.1432415  0.15784101 0.19088902]
197,1285,413,1,[0.5735725  0.42642742],134,1,[0.31512418 0.68487585],155,1,[0.38740563 0.6125943 ],114,1,[0.4246866  0.38686737 0.18844602],-117,1,[0.48730966 0.12984185 0.1941773  0.1886711 ]
198,1290,420,1,[0.5294739 0.4705261],141,1,[0.167804 0.832196],164,1,[0.40234923 0.59765077],122,1,[0.39335832 0.40278873 0.20385294],-109,1,[0.4834312  0.12796721 0.20028895 0.1883126 ]
199,1295,422,1,[0.5242684  0.47573164],145,1,[0.16654855 0.83345145],172,1,[0.3759283  0.62407166],133,1,[0.38698724 0.3980608  0.21495199],-100,1,[0.48235616 0.12746266 0.20196982 0.18821135]
200,1300,422,1,[0.5084695  0.49153054],147,1,[0.15785344 0.8421465 ],174,1,[0.41263464 0.5873654 ],139,1,[0.37505826 0.4190693  0.20587246],-174,1,[0.48373508 0.12605475 0.20196278 0.18824746]
201,1305,415,2,[0.569434   0.43056598],157,2,[0.251085   0.74891496],177,2,[0.39924696 0.60075307],135,2,[0.37087458 0.41900685 0.2101185 ],-174,4,[0.4837551  0.12604502 0.20195763 0.18824229]
202,1310,421,2,[0.5816984  0.41830152],158,2,[0.24687615 0.7531238 ],179,2,[0.39403003 0.60596997],135,2,[0.37571797 0.4279638  0.19631828],-174,4,[0.48879    0.123922   0.1983033  0.18898463]
203,1315,426,2,[0.5790056  0.42099437],158,2,[0.2914999 0.7085001],181,2,[0.40122524 0.59877473],133,2,[0.37300512 0.4192546  0.2077403 ],-173,4,[0.5504965  0.10260449 0.15993366 0.18696532]
204,1320,430,2,[0.52486557 0.47513443],158,2,[0.35149685 0.6485032 ],181,2,[0.40960452 0.59039545],132,2,[0.3707988 0.4224549 0.2067464],-173,4,[0.5191629  0.10922577 0.16016868 0.21144263]
205,1325,436,2,[0.61254746 0.3874525 ],157,2,[0.37464228 0.62535775],180,2,[0.47751337 0.52248657],132,2,[0.32431313 0.46378323 0.21190365],-176,4,[0.50858945 0.11489462 0.16274726 0.2137687 ]
206,1330,441,2,[0.6903105  0.30968955],156,2,[0.39067867 0.6093213 ],179,2,[0.47116485 0.5288352 ],131,2,[0.33953753 0.44062227 0.21984024],-178,4,[0.5127427  0.10937709 0.15828341 0.21959683]
207,1335,444,2,[0.75753456 0.24246548],156,2,[0.412219 0.587781],179,2,[0.44209224 0.5579077 ],129,2,[0.35672706 0.422289   0.22098397],-181,4,[0.5175175  0.10088342 0.15152729 0.23007187]
208,1340,444,2,[0.74161845 0.25838158],155,2,[0.3489894  0.65101063],178,2,[0.5339485  0.46605152],128,2,[0.36163288 0.41694486 0.22142226],-183,4,[0.52053803 0.09489571 0.14655985 0.2380064 ]
209,1345,388,1,[0.46342155 0.5365785 ],16,1,[0.35738596 0.64261407],18,1,[0.6431649  0.35683513],-42,1,[0.35041556 0.42327154 0.22631289],-258,1,[0.51228493 0.11032083 0.15896451 0.2184297 ]
210,1350,397,1,[0.40345824 0.5965418 ],29,1,[0.23149043 0.76850957],30,1,[0.5129431  0.48705685],-32,1,[0.3669313  0.4161939  0.21687482],-254,1,[0.45129684 0.10344484 0.1582041  0.2870543 ]
211,1355,402,1,[0.40703675 0.5929632 ],44,1,[0.2170915 0.7829085],37,1,[0.41450515 0.5854949 ],-28,1,[0.4366291  0.3791972  0.18417369],-250,1,[0.50974    0.10589027 0.17799321 0.20637654]
212,1360,406,1,[0.43963325 0.5603668 ],57,1,[0.27424762 0.72575235],44,1,[0.51426643 0.4857336 ],-18,1,[0.47855327 0.35705203 0.16439472],-235,1,[0.51951104 0.10378755 0.1754654  0.20123605]
213,1365,409,1,[0.22819099 0.77180904],64,1,[0.19395617 0.80604386],49,1,[0.35501674 0.6449833 ],-9,1,[0.37682268 0.42456    0.19861723],-225,1,[0.5298725  0.09995383 0.16833912 0.20183462]
214,1370,407,1,[0.22770369 0.77229625],70,1,[0.1938827 0.8061173],51,1,[0.40355366 0.5964464 ],-4,1,[0.39411464 0.4214857  0.18439971],-219,1,[0.4900344  0.12192804 0.1974008  0.19063672]
215,1375,410,1,[0.34295678 0.6570433 ],74,1,[0.20614707 0.7938529 ],55,1,[0.36197314 0.6380269 ],0,1,[0.4136169  0.40741718 0.17896597],-205,1,[0.5187274  0.10387786 0.1757545  0.20164028]
216,1380,422,1,[0.423943 0.576057],85,1,[0.19675212 0.80324787],58,1,[0.1791794  0.82082057],3,1,[0.38675484 0.4309784  0.18226682],-196,1,[0.5573513  0.08823974 0.14697307 0.20743585]
217,1385,430,1,[0.40182042 0.5981796 ],94,1,[0.16010152 0.83989847],60,1,[0.18806748 0.81193256],6,1,[0.38581595 0.42491546 0.18926865],-188,1,[0.5552121  0.08753918 0.14624754 0.21100117]
218,1390,437,1,[0.421041  0.5789589],103,1,[0.27831984 0.72168016],69,1,[0.19802037 0.8019796 ],14,1,[0.35301006 0.41800556 0.22898445],-179,1,[0.52768826 0.0991772  0.16690713 0.20622738]
219,1395,442,1,[0.5847782 0.4152218],107,1,[0.2631742  0.73682576],79,1,[0.21478465 0.7852154 ],19,1,[0.33768964 0.423883   0.23842734],-179,1,[0.5264584  0.10081245 0.17059153 0.20213765]
220,1400,442,1,[0.4429246 0.5570754],109,1,[0.26917613 0.7308238 ],89,1,[0.21032146 0.7896785 ],25,1,[0.34273434 0.42024478 0.2370209 ],-173,1,[0.5151098  0.10540856 0.17863448 0.20084715]
221,1405,443,1,[0.40542504 0.594575  ],110,1,[0.285863  0.7141371],100,1,[0.24480861 0.7551914 ],38,1,[0.30537856 0.40745318 0.28716823],-168,1,[0.4919449  0.1071038  0.17521028 0.22574098]
222,1410,445,1,[0.40073183 0.59926814],117,1,[0.27915114 0.7208489 ],110,1,[0.21287638 0.7871236 ],50,1,[0.29452422 0.40619645 0.29927936],-162,1,[0.50155187 0.11013231 0.18237059 0.20594527]
223,1415,446,1,[0.40538937 0.5946106 ],116,1,[0.2533511 0.7466489],122,1,[0.21168739 0.7883126 ],63,1,[0.2865785  0.39783874 0.31558278],-153,1,[0.4840236  0.12588531 0.20172827 0.1883628 ]
224,1420,450,1,[0.45608342 0.5439166 ],116,1,[0.3084241  0.69157594],133,1,[0.19210199 0.80789804],75,1,[0.38562307 0.43191215 0.18246476],-142,1,[0.5131568  0.11128677 0.18094823 0.19460817]
225,1425,458,1,[0.43178603 0.568214  ],122,1,[0.15662585 0.84337413],146,1,[0.2240009 0.7759991],87,1,[0.37251237 0.4202121  0.20727555],-129,1,[0.48433462 0.12578978 0.20158926 0.18828624]
226,1430,460,1,[0.5260307  0.47396925],125,1,[0.17477022 0.8252298 ],155,1,[0.18433489 0.81566507],99,1,[0.36795142 0.41829386 0.21375468],-120,1,[0.4833515  0.12624398 0.20192963 0.18847486]
227,1435,460,1,[0.48398086 0.5160191 ],126,1,[0.16264232 0.83735764],156,1,[0.20037627 0.7996237 ],103,1,[0.3546201  0.41754127 0.22783856],-209,1,[0.47440222 0.13045588 0.20377095 0.19137092]
228,1440,451,2,[0.55506164 0.44493836],134,2,[0.22796881 0.7720311 ],162,2,[0.23643056 0.7635695 ],99,2,[0.3484693  0.41620663 0.23532407],-207,4,[0.4993948  0.11948384 0.18747099 0.1936503 ]
229,1445,457,2,[0.5002778  0.49972218],135,2,[0.41970116 0.58029884],163,2,[0.23186795 0.76813203],98,2,[0.331996   0.4030172  0.26498678],-206,4,[0.5267061  0.10738104 0.16772382 0.19818905]
230,1450,460,2,[0.5015223  0.49847776],134,2,[0.41050574 0.5894942 ],165,2,[0.26550278 0.7344972 ],96,2,[0.33296117 0.40015253 0.2668863 ],-208,4,[0.51885414 0.1028267  0.15535761 0.22296156]
231,1455,464,2,[0.4634385 0.5365615],134,2,[0.44511497 0.55488497],167,2,[0.3600537 0.6399463],96,2,[0.34508404 0.40243196 0.25248402],-205,4,[0.51150393 0.0951047  0.14712489 0.2462665 ]
232,1460,469,2,[0.5499418  0.45005828],133,2,[0.43107888 0.5689211 ],167,2,[0.36723873 0.63276124],98,2,[0.25969654 0.48643643 0.253867  ],-204,4,[0.50551164 0.11063251 0.16102356 0.22283225]
233,1465,474,2,[0.5392091  0.46079087],133,2,[0.46075788 0.53924215],166,2,[0.39534757 0.6046524 ],99,2,[0.24881369 0.5294189  0.22176749],-204,4,[0.5069677  0.11895999 0.16545391 0.20861842]
234,1470,480,2,[0.50078017 0.4992198 ],133,2,[0.46750453 0.5324955 ],167,2,[0.40476665 0.5952333 ],97,2,[0.25161594 0.5250803  0.2233037 ],-207,4,[0.50779265 0.11801532 0.164691   0.20950104]
235,1475,480,2,[0.5079246  0.49207538],132,2,[0.43825397 0.56174606],166,2,[0.56387395 0.43612602],96,2,[0.2666473  0.5326446  0.20070809],-209,4,[0.50751525 0.11858352 0.16508038 0.20882083]
236,1480,412,1,[0.50011134 0.49988863],16,1,[0.44621786 0.55378217],22,1,[0.6001515  0.39984852],-57,1,[0.25773802 0.5245418  0.21772015],-293,1,[0.5119576  0.11126976 0.15963452 0.21713817]
237,1485,419,1,[0.4382189 0.5617811],30,1,[0.31888786 0.6811121 ],34,1,[0.51748943 0.48251054],-46,1,[0.27522177 0.49197283 0.23280549],-289,1,[0.52419907 0.08806119 0.14070633 0.24703346]
238,1490,421,1,[0.4578751 0.5421249],45,1,[0.20352848 0.7964715 ],43,1,[0.39699334 0.60300666],-36,1,[0.33063436 0.41412947 0.2552362 ],-286,1,[0.5219341  0.10648051 0.17458582 0.19699952]
239,1495,421,1,[0.27630636 0.72369367],54,1,[0.27940652 0.72059345],50,1,[0.35996062 0.6400394 ],-26,1,[0.3449754  0.41013527 0.24488929],-280,1,[0.4339474  0.15049088 0.2109692  0.20459254]
240,1500,421,1,[0.24489975 0.75510025],58,1,[0.31612375 0.6838763 ],54,1,[0.5276604  0.47233954],-12,1,[0.32972273 0.4156349  0.2546424 ],-273,1,[0.51607245 0.10635096 0.1601046  0.21747196]
241,1505,422,1,[0.2600529  0.73994714],64,1,[0.32033414 0.6796659 ],60,1,[0.37121832 0.6287817 ],-4,1,[0.38308984 0.41143668 0.2054735 ],-260,1,[0.5511111  0.0901859  0.13641089 0.2222921 ]
242,1510,422,1,[0.38706216 0.6129379 ],71,1,[0.22488555 0.7751145 ],68,1,[0.41022587 0.5897741 ],3,1,[0.37942064 0.41997102 0.20060836],-248,1,[0.5539754  0.08837499 0.13450024 0.22314936]
243,1515,429,1,[0.48730746 0.5126926 ],84,1,[0.20608437 0.7939156 ],77,1,[0.39830586 0.60169417],8,1,[0.3813533  0.41827175 0.20037493],-236,1,[0.5548309  0.08805754 0.13401124 0.2231003 ]
244,1520,436,1,[0.40734005 0.59265995],92,1,[0.21441066 0.78558934],85,1,[0.33419737 0.66580266],12,1,[0.34110415 0.41545224 0.24344361],-222,1,[0.5579258  0.08701529 0.13356641 0.2214925 ]
245,1525,442,1,[0.31074202 0.689258  ],104,1,[0.18357503 0.81642497],93,1,[0.2348073 0.7651927],23,1,[0.3384917  0.4167154  0.24479288],-218,1,[0.60649693 0.07069074 0.12407018 0.19874215]
246,1530,445,1,[0.31721276 0.68278724],109,1,[0.2636264  0.73637366],103,1,[0.2266849 0.7733151],32,1,[0.3379687  0.41622686 0.24580446],-211,1,[0.6070789  0.07044075 0.12382182 0.19865859]
